"ID";"RegioS";"Perioden";"TotaleBevolking_1"
"4705";"GM0758";"2020JJ00";"  184069"
"4706";"GM0758";"2021JJ00";"  184126"
"4707";"GM0758";"2022JJ00";"  184702"
"4708";"GM0758";"2023JJ00";"  186438"
"4709";"GM0758";"2024JJ00";"  188078"
"4735";"GM0194";"2020JJ00";""
"4736";"GM0194";"2021JJ00";""
"4737";"GM0194";"2022JJ00";""
"4738";"GM0194";"2023JJ00";""
"4739";"GM0194";"2024JJ00";""
"4765";"GM0311";"2020JJ00";""
"4766";"GM0311";"2021JJ00";""
"4767";"GM0311";"2022JJ00";""
"4768";"GM0311";"2023JJ00";""
"4769";"GM0311";"2024JJ00";""
"4795";"GM0501";"2020JJ00";"   17271"
"4796";"GM0501";"2021JJ00";"   17439"
"4797";"GM0501";"2022JJ00";"   17704"
"4798";"GM0501";"2023JJ00";""
"4799";"GM0501";"2024JJ00";""
"4825";"GM0898";"2020JJ00";""
"4826";"GM0898";"2021JJ00";""
"4827";"GM0898";"2022JJ00";""
"4828";"GM0898";"2023JJ00";""
"4829";"GM0898";"2024JJ00";""
"4855";"GM1876";"2020JJ00";"   36055"
"4856";"GM1876";"2021JJ00";"   36087"
"4857";"GM1876";"2022JJ00";"   36077"
"4858";"GM1876";"2023JJ00";"   36277"
"4859";"GM1876";"2024JJ00";"   36119"
"4885";"GM0656";"2020JJ00";""
"4886";"GM0656";"2021JJ00";""
"4887";"GM0656";"2022JJ00";""
"4888";"GM0656";"2023JJ00";""
"4889";"GM0656";"2024JJ00";""
"4915";"GM0657";"2020JJ00";""
"4916";"GM0657";"2021JJ00";""
"4917";"GM0657";"2022JJ00";""
"4918";"GM0657";"2023JJ00";""
"4919";"GM0657";"2024JJ00";""
"4945";"GM0213";"2020JJ00";"   20726"
"4946";"GM0213";"2021JJ00";"   20884"
"4947";"GM0213";"2022JJ00";"   20890"
"4948";"GM0213";"2023JJ00";"   21105"
"4949";"GM0213";"2024JJ00";"   21286"
"4975";"GM0899";"2020JJ00";"   27821"
"4976";"GM0899";"2021JJ00";"   27670"
"4977";"GM0899";"2022JJ00";"   27674"
"4978";"GM0899";"2023JJ00";"   27682"
"4979";"GM0899";"2024JJ00";"   27770"
"5005";"GM0759";"2020JJ00";""
"5006";"GM0759";"2021JJ00";""
"5007";"GM0759";"2022JJ00";""
"5008";"GM0759";"2023JJ00";""
"5009";"GM0759";"2024JJ00";""
"5035";"GM0312";"2020JJ00";"   15191"
"5036";"GM0312";"2021JJ00";"   15341"
"5037";"GM0312";"2022JJ00";"   15590"
"5038";"GM0312";"2023JJ00";"   16026"
"5039";"GM0312";"2024JJ00";"   16108"
"5065";"GM0313";"2020JJ00";"   21866"
"5066";"GM0313";"2021JJ00";"   22019"
"5067";"GM0313";"2022JJ00";"   22325"
"5068";"GM0313";"2023JJ00";"   22500"
"5069";"GM0313";"2024JJ00";"   22619"
"5095";"GM0214";"2020JJ00";"   26749"
"5096";"GM0214";"2021JJ00";"   27009"
"5097";"GM0214";"2022JJ00";"   27155"
